"﻿""Area""",Item,Element,2009,flag,2010,flag,2011,flag,2012,flag,2013,flag
United States of America,Sorghum,Producer Price (USD/tonne) (USD),127,,198,,236,,249,,168,
Uruguay,Wheat,Producer Price (USD/tonne) (USD),221.27,,217.66,,280.78,,263.04,,312.01,
Uruguay,Rice paddy,Producer Price (USD/tonne) (USD),241.83,,246.21,,244.04,,259.45,,265.46,
Uruguay,Barley,Producer Price (USD/tonne) (USD),159.68,,219.11,,216.06,,219.32,,267.16,
Uruguay,Maize,Producer Price (USD/tonne) (USD),181.49,,189.22,,286.11,,256.92,,230.38,
Uruguay,Oats,Producer Price (USD/tonne) (USD),320.77,,289.22,,289.48,,294.34,,334.37,
Uruguay,Sorghum,Producer Price (USD/tonne) (USD),135.78,,151.95,,241.55,,180.49,,197.18,
Venezuela (Bolivarian Republic of),Rice paddy,Producer Price (USD/tonne) (USD),395.35,,472.87,,412.59,,529.14,,482.64,
Venezuela (Bolivarian Republic of),Maize,Producer Price (USD/tonne) (USD),613.95,,732.56,,470.86,,487.18,,594.93,
Venezuela (Bolivarian Republic of),Sorghum,Producer Price (USD/tonne) (USD),293.02,,317.83,,209.79,,321.68,,356.52,
Viet Nam,Rice paddy,Producer Price (USD/tonne) (USD),295.7,,289.6,,315.99,,299.31,,294.13,
Viet Nam,Maize,Producer Price (USD/tonne) (USD),240.14,,265.1,,301.31,,319.91,,325.9,
Viet Nam,Millet,Producer Price (USD/tonne) (USD),,,1244.99,,1829.52,,1071.97,,867.87,
Ethiopia,Wheat,Producer Price (USD/tonne) (USD),397.57,F,298.53,,293.49,,406.78,,,
Ethiopia,Rice paddy,Producer Price (USD/tonne) (USD),556.65,F,421.09,,372.19,,424.86,,,
Ethiopia,Barley,Producer Price (USD/tonne) (USD),352.09,F,276.1,,247.34,,341.92,,,
Ethiopia,Maize,Producer Price (USD/tonne) (USD),247.23,F,170.99,,139.64,,237.29,,,
Ethiopia,Oats,Producer Price (USD/tonne) (USD),349.53,F,271.2,,275.15,,351.41,,,
Ethiopia,Millet,Producer Price (USD/tonne) (USD),340.15,F,248.77,,202.96,,290.96,,,
Ethiopia,Sorghum,Producer Price (USD/tonne) (USD),323.32,F,231.25,,237.87,,317.51,,,
Yemen,Wheat,Producer Price (USD/tonne) (USD),745.98,,578.35,,652.59,,687.25,,752.83,
Yemen,Barley,Producer Price (USD/tonne) (USD),769.55,,660.32,,555.7,,595.62,,652.4,
Yemen,Maize,Producer Price (USD/tonne) (USD),758.09,,678.54,,769.52,,693.48,,759.59,
Yemen,Millet,Producer Price (USD/tonne) (USD),770.47,,633,,771.75,,688.69,,763.18,
Yemen,Sorghum,Producer Price (USD/tonne) (USD),770.5,,623.89,,767.29,,678.16,,742.88,
Zambia,Maize,Producer Price (USD/tonne) (USD),358.38,,,,,,,,,
Zambia,Sorghum,Producer Price (USD/tonne) (USD),975.6,,,,,,,,,
Belgium,Wheat,Producer Price (USD/tonne) (USD),153.47,,205,,275.49,,286.28,,263.92,
Belgium,Barley,Producer Price (USD/tonne) (USD),120,,193.95,,240.99,,277.08,,230.08,
Belgium,Rye,Producer Price (USD/tonne) (USD),90.83,,143.55,,169.75,,190.71,,164.77,
Belgium,Oats,Producer Price (USD/tonne) (USD),217.22,,286.45,,314.18,,294.92,,165.84,
Belgium,Triticale,Producer Price (USD/tonne) (USD),93.33,,147.76,,167.18,,147.63,,126.63,
Luxembourg,Wheat,Producer Price (USD/tonne) (USD),139.31,,209.21,,252.08,,295.9,,222.6,
Luxembourg,Barley,Producer Price (USD/tonne) (USD),106.53,,164.87,,223.75,,256.79,,195.24,
Luxembourg,Maize,Producer Price (USD/tonne) (USD),183.33,,213.42,,253.33,,282.05,,265.63,
Luxembourg,Rye,Producer Price (USD/tonne) (USD),99.86,,171.18,,215.83,,224.36,,173.72,
Luxembourg,Oats,Producer Price (USD/tonne) (USD),92.64,,125,,211.81,,230.77,,169.74,
Luxembourg,Triticale,Producer Price (USD/tonne) (USD),99.58,,167.76,,229.17,,262.82,,185.01,
Luxembourg,Grain mixed,Producer Price (USD/tonne) (USD),107.64,,125,,173.61,,224.36,,168.41,
Serbia,Wheat,Producer Price (USD/tonne) (USD),145.05,,165.95,,246.05,,245.08,,206.09,
Serbia,Barley,Producer Price (USD/tonne) (USD),141.28,,160.56,,258.32,,250.89,,236.97,
Serbia,Maize,Producer Price (USD/tonne) (USD),132.05,,173.26,,232.42,,236.43,,188.24,
Serbia,Rye,Producer Price (USD/tonne) (USD),218.53,,259.77,,280.94,,316.88,,214.07,
Serbia,Oats,Producer Price (USD/tonne) (USD),155.01,,178.01,,310.39,,215.67,,270.08,
Occupied Palestinian Territory,Wheat,Producer Price (USD/tonne) (USD),700.71,,635.03,,554.83,,585.79,,665.67,
Occupied Palestinian Territory,Barley,Producer Price (USD/tonne) (USD),319.03,,394.12,,479.55,,540.99,,590.63,
Occupied Palestinian Territory,Maize,Producer Price (USD/tonne) (USD),366.41,,487.97,,1160.13,,1071.43,,1171.69,
Occupied Palestinian Territory,Sorghum,Producer Price (USD/tonne) (USD),,,,,1251.17,,1204.55,,1163.61,
,,,,,,,,,,,,
,Official data,,,,,,,,,,,
F,FAO estimate,,,,,,,,,,,
,,,,,,,,,,,,
FAOSTAT 2015, Date : 11. 12. 2015,,,,,,,,,,,
